% Model:              zahra.mph
% Version:            COMSOL 5.3.1.275
% Date:               May 12 2020, 02:02
% Dimension:          3
% Nodes:              5948
% Expressions:        4
% Description:        Temperature, Mach number, Pressure, Density
% Length unit:        mm
% x                       y                        z                        T (K)                    hmnf.Ma (1)              p (Pa)                   hmnf.rho (kg/m^3)
-25.4                     -50.8                    -25.4                    272.38728199862396       1.5935766973266012       96795.86923869554        1.2381923069019403
-25.399999999999995       -47.56463881754976       -21.768830284960703      272.36167561778615       1.593088557276504        95832.50306377796        1.2259843817731417
-25.399999999999995       -50.8                    -20.319999999999997      271.7927875958942        1.5888004799054227       94843.78748581577        1.2158753784832042
-21.56774298436593        -50.8                    -22.072650241605523      271.7307335609317        1.5770437237632675       94349.92382513091        1.209820379437957
-20.319999999999997       -50.79999999999998       -25.39999999999999       271.7505718333469        1.5920761020894372       94846.97875378864        1.2161051793128628
-17.738612343214356       -50.8                    -21.692349212664016      271.70630918063347       1.5468514575833388       93445.18379885878        1.1983268842405044
-19.774749701741595       -48.235058133756944      -21.1331295657425        271.594013154663         1.5847778363138043       93474.94741633117        1.1992041986126831
-20.707915499718137       -50.8                    -17.590063890812058      271.8027721869911        1.5322528375177444       93298.32297928008        1.196018944621076
-21.5467220567707         -47.46892432831921       -25.400000000000002      272.5627898152592        1.5882635635897022       96129.97714913652        1.2288825477569003
-25.39999999999999        -45.71999999999999       -25.39999999999999       273.3037758155724        1.5878275470359962       97899.78892775376        1.248113920552701
-25.399999999999995       -47.19666816259052       -17.55971786748745       271.8024441764848        1.5959181120446664       94104.9765489277         1.2063611324214578
-25.399999999999995       -50.8                    -15.24                   271.7925432939591        1.575313486926385        93555.99317885701        1.1993672319296904
-21.810887060268822       -45.67011626751388       -20.573909918820984      272.24748032655293       1.5896962766484535       94618.09384151483        1.210956182540933
-25.399999999999995       -43.08215663192646       -20.75725604262319       273.2537646266755        1.5873221136470077       96732.01864667106        1.233451848682504
-21.7543324851936         -46.04284625466267       -17.545965461572035      271.59943797708917       1.5897732893550265       93068.49726650582        1.1939659400468374
-17.64797807244545        -47.082218792891204      -25.400000000000002      272.11284877298647       1.589454863700347        94953.53927133467        1.2158505942719466
-18.540206868165793       -45.31826089580093       -21.690157784331216      271.8512013433866        1.592756870872484        94014.39691706985        1.2049838082728088
-15.239999999999993       -50.79999999999998       -25.39999999999999       271.6533818019487        1.5598252494115477       93703.25346250876        1.201870450415626
-15.220720998200541       -50.8                    -17.06663189777406       271.7820871423614        1.491074375655514        92017.30289344676        1.1796869451098049
-15.461106150149863       -47.287796858739         -20.2128112996829        271.758400684048         1.5456654559595007       92858.02238206689        1.190568959411799
-12.70043817976208        -50.8                    -21.046633046684537      271.6828563112322        1.506711888771186        92231.44880594827        1.1828642317924754
-19.269609022731068       -46.06562842869979       -18.209238819620897      271.681594451916         1.572330846929881        92953.05647422954        1.1921243550126794
-13.527347295586376       -46.988309367747256      -17.74444829399909       271.7949655895601        1.51295377917857         91991.26837321432        1.1792972942203774
-16.728330985193324       -46.461140589885694      -15.84456772042081       271.7003219509788        1.530811671311107        91930.38036943536        1.1789272529349817
-17.43351958766027        -50.8                    -13.583427231490175      271.77146009738084       1.5004269117022697       91556.29629675577        1.1738226127211513
-21.697777910118386       -46.41557624181146       -14.518021004323087      271.62635225730514       1.561639876269303        92394.9123181054         1.185207141067889
-21.44197569406837        -50.8                    -12.014005124105296      271.76354262197145       1.5379238221015858       91890.26010472931        1.1781386098631332
-25.399999999999995       -46.56632979208737       -12.580556320146153      271.584903361356         1.591947042232696        92720.0194552401         1.1895590140702001
-19.44665969098105        -48.40876881745186       -9.571415623767129       271.4012006825898        1.5250146092170522       90374.59200746921        1.1602529687213479
-25.39999999999999        -50.79999999999999       -10.160000000000002      271.6941251104854        1.5723730905146291       92201.41700420887        1.182430030708064
-20.74930207831404        -42.919466893510325      -25.400000000000002      273.69597566177623       1.5816360091300696       97585.62882707336        1.242325948767586
-25.399999999999995       -40.64                   -25.399999999999995      274.80479489944014       1.5786546590894917       99903.52777311852        1.2667024813492
-21.626506981471543       -40.43326350164629       -20.068122797652226      273.04950084447984       1.5857721527780833       95825.80762863535        1.2228106274723842
-21.269347938871398       -50.8                    -7.266873008640145       271.5324137326017        1.5319003031533882       90290.63329719786        1.1586149344812495
-25.399999999999995       -37.82259480683973       -20.93579753211403       274.96932344529057       1.5766334443616592       99120.48143859564        1.2560220420866293
-25.399999999999995       -42.91699490144063       -14.891691029712637      272.3942523640354        1.5906964820599578       94242.49416149277        1.2054992238136424
-21.662142445794963       -43.424419871728865      -17.29307190098766       271.95885489565046       1.5935395963808252       93651.42039160269        1.199856387959586
-22.98371006018421        -44.26173959983496       -11.424275964950715      271.13536918393464       1.5754652849387296       91176.9105103935         1.1717010016660394
-25.399999999999995       -39.13452565009123       -17.283738429841975      274.16176706361          1.5806571977188733       97279.4300762797         1.2363238013314068
-10.098907229943292       -50.8                    -16.623614942839925      271.86938132991037       1.4782319403537578       91366.16978511435        1.1709631370926634
-17.19554147184371        -50.8                    -9.5946691769549         271.6966002523376        1.4970592384733783       90343.12251884303        1.1585879202316247
-15.374751230271244       -48.21724216051619       -11.84269708441335       271.5263522038979        1.4905024043384536       90359.64222569436        1.1595263458558152
-12.753946640305712       -50.8                    -12.209070027667982      272.07135248991915       1.4597319133798747       90715.11257745852        1.1617560200149588
-13.171414064614726       -50.8                    -6.778123625194218       272.5682623475618        1.440463038672345        90592.84302743447        1.158075054679582
-20.95141695464217        -37.49969396343316       -25.400000000000002      274.85616369765245       1.577319761222194        99431.50452825784        1.260481957651132
-25.4                     -35.559999999999995      -25.4                    276.30581398330827       1.569716842997425        101907.26661848319       1.2850890790809677
-15.269526676062771       -44.966405524087975      -22.80640564984145       271.9274390575293        1.5760877692001989       93930.25190921545        1.2035677930551698
-15.077947201975677       -42.645014189436964      -25.400000000000002      272.49118045339173       1.5903156319190828       95434.90478346434        1.2203176634413144
-17.72094357480694        -41.34040263587747       -22.389494776340634      272.58580269050447       1.5893857557572841       95260.59781550143        1.217665982642256
-17.220113029076238       -38.90521155427693       -25.400000000000002      273.5918639642792        1.583058424795343        97299.94321614924        1.2391603590778841
-11.804566154472237       -47.58816002397716       -20.20961566727688       271.8503853949127        1.5116605956183344       92373.25247323519        1.1839527911180585
-12.6261709178573         -46.465723855870955      -25.400000000000002      271.9636616831388        1.5622527558140618       94092.8488279036         1.2054906359731168
-13.041203521966615       -44.76947758558039       -20.981510906438768      271.97678384471686       1.5445467174422736       93190.40621279365        1.1938711956884849
-10.159999999999993       -50.79999999999999       -25.399999999999995      271.3364244686188        1.5445901983023276       93072.69924714096        1.1951772415484283
-7.619999999999985        -50.8                    -21.00059094877504       271.51374705374707       1.5168401934537659       92229.41281140612        1.1835748375588475
-10.0817850133581         -48.18801068020706       -22.674783040554672      271.40960520739634       1.5301033859731097       92512.3240974517         1.1876609614745623
-5.079999999999996        -50.8                    -25.4                    271.1545577588303        1.5560236951429618       93097.31462925565        1.1962951679331904
-7.619999999999977        -46.40059094877504       -25.4                    271.0550271921657        1.5606519443382687       92988.34837050458        1.1953337194694735
-8.739938182759204        -47.74315943247864       -15.561373552529323      271.3052616874756        1.4769959385915847       90343.59119681647        1.1602651201334535
-5.053451225731919        -50.8                    -16.68780907506893       271.8260306441334        1.4769952800488897       90975.31174074965        1.1661397849621797
-11.593588441022886       -46.68882187675552       -15.276085288315274      271.60768906987886       1.4793318969438471       90861.94113838376        1.1656228528956762
-25.399999999999995       -42.36529955421501       -9.916517773043925       271.52233544039484       1.5859286150299827       92649.9966343172         1.1889345581859756
-25.4                     -46.40059094877504       -7.619999999999992       271.80849076450806       1.57115194007581         92385.67442446915        1.1842945145292272
-21.69777791011839        -46.01753763490372       -9.548162070579355       271.1070528677562        1.553092114360293        90409.94029170583        1.161966131930967
